Address,type,Areas,Floors,YearBuilt
230 EAST 5 STREET,Residential,1939,3,1901
539 EAST 12 STREET,Residential,2272,3,1901
169 1 AVENUE,Residential,2317,3,1901
60 3 AVENUE,Commercial,1836,4,1901
62 3 AVENUE,Commercial,1852,4,1901
125 EAST 10 STREET,Residential,1324,4,1901
427 EAST 9 STREET,Residential,1415,4,1901
54 2 AVENUE,Residential,1440,4,1901
218 EAST 9 STREET,Residential,1575,4,1901
218 EAST 13 STREET,Residential,1600,4,1901
313 EAST 6 STREET,Residential,1676,4,1901
310 EAST 9 STREET,Residential,2013,4,1901
428 EAST 13 STREET,Residential,2512,4,1901
35 STUYVESANT STREET,Residential,498,5,1901
33 STUYVESANT STREET,Residential,640,5,1901
527 EAST 12 STREET,Residential,5160,6,1901
538 EAST 11 STREET,Residential,4845,2,1904
331 EAST 10 STREET,Residential,4796,3,1904
317 EAST 6 STREET,Residential,1635,3,1905
430 EAST 13 STREET,Residential,2504,4,1905
519 EAST 12 STREET,Residential,2581,4,1905
227 EAST 5 STREET,Residential,2425,5,1905
233 EAST 5 STREET,Residential,2425,5,1905
211 EAST 5 STREET,Residential,2425,5,1905
224 AVENUE B,Commercial,4172,6,1905
202 1 AVENUE,Residential,3942,6,1905
130 EAST 12 STREET,Commercial,4770,7,1905
115 4 AVENUE,Commercial,13830,8,1905
121 ST MARKS PLACE,Residential,4669,6,1907
109 AVENUE A,Residential,2292,7,1908
71 4 AVENUE,Commercial,2942,1,1910
173 EAST 2 STREET,Residential,2650,1,1910
88 3 AVENUE,Commercial,3215,3,1910
246 EAST 5 STREET,Residential,320,3,1910
104 EAST 10 STREET,Residential,900,3,1910
56 2 AVENUE,Residential,1440,3,1910
321 EAST 6 STREET,Residential,1635,3,1910
62 EAST 3 STREET,Residential,1900,3,1910
108 EAST 1 STREET,Residential,2118,3,1910
222 EAST 13 STREET,Residential,2212,3,1910
149 2 AVENUE,Residential,4104,3.5,1910
221 1 AVENUE,Commercial,1204,4,1910
223 1 AVENUE,Commercial,1600,4,1910
86 EAST 10 STREET,Commercial,1860,4,1910
99 EAST 3 STREET,Residential,962,4,1910
71 EAST 2 STREET,Residential,1071,4,1910
505 EAST 12 STREET,Residential,1139,4,1910
503 EAST 12 STREET,Residential,1147,4,1910
196 AVENUE A,Residential,1200,4,1910
19 1 AVENUE,Residential,1269,4,1910
194 AVENUE A,Residential,1486,4,1910
168 AVENUE A,Residential,1510,4,1910
95 AVENUE A,Residential,1524,4,1910
220 EAST 13 STREET,Residential,1600,4,1910
216 EAST 13 STREET,Residential,1600,4,1910
303 EAST 6 STREET,Residential,1967,4,1910
146 1 AVENUE,Residential,2000,4,1910
214 EAST 12 STREET,Residential,2130,4,1910
218 EAST 12 STREET,Residential,2308,4,1910
204 AVENUE A,Residential,2472,4,1910
202 AVENUE A,Residential,2472,4,1910
222 EAST 12 STREET,Residential,2485,4,1910
423 EAST 12 STREET,Residential,2512,4,1910
78 EAST 3 STREET,Residential,2517,4,1910
231 EAST 11 STREET,Residential,2550,4,1910
434 EAST 11 STREET,Residential,2553,4,1910
201 AVENUE A,Residential,2575,4,1910
157 EAST 3 STREET,Residential,4328,4,1910
337 EAST 13 STREET,Commercial,2925,5,1910
335 EAST 13 STREET,Commercial,2925,5,1910
333 EAST 13 STREET,Commercial,2925,5,1910
70 EAST 1 STREET,Residential,837,5,1910
128 EAST 4 STREET,Residential,1250,5,1910
15 1 AVENUE,Residential,1250,5,1910
36 EAST 1 STREET,Residential,1272,5,1910
34 EAST 1 STREET,Residential,1392,5,1910
37 1 AVENUE,Residential,1450,5,1910
81 2 AVENUE,Residential,1600,5,1910
73 EAST 2 STREET,Residential,1650,5,1910
82 EAST 7 STREET,Residential,1708,5,1910
75 EAST 2 STREET,Residential,1725,5,1910
109 1 AVENUE,Residential,1746,5,1910
206 1 AVENUE,Residential,1755,5,1910
77 EAST 2 STREET,Residential,1800,5,1910
84 EAST 7 STREET,Residential,1836,5,1910
44 EAST 1 STREET,Residential,1920,5,1910
182 2 AVENUE,Residential,2058,5,1910
105 1 AVENUE,Residential,2208,5,1910
167 AVENUE A,Residential,2225,5,1910
165 AVENUE A,Residential,2225,5,1910
107 1 AVENUE,Residential,2267,5,1910
307 EAST 6 STREET,Residential,2271,5,1910
124 1 AVENUE,Residential,2287,5,1910
433 EAST 9 STREET,Residential,2306,5,1910
334 EAST 9 STREET,Residential,2348,5,1910
275 EAST 10 STREET,Residential,2369,5,1910
277 EAST 10 STREET,Residential,2369,5,1910
329 EAST 10 STREET,Residential,2369,5,1910
279 EAST 10 STREET,Residential,2369,5,1910
432 EAST 11 STREET,Residential,2370,5,1910
126 EAST 4 STREET,Residential,2404,5,1910
85 EAST 3 STREET,Residential,2404,5,1910
50 EAST 1 STREET,Residential,2423,5,1910
46 EAST 1 STREET,Residential,2424,5,1910
91 2 AVENUE,Residential,2425,5,1910
209 EAST 5 STREET,Residential,2425,5,1910
231 EAST 5 STREET,Residential,2425,5,1910
51 EAST 7 STREET,Residential,2438,5,1910
55 EAST 7 STREET,Residential,2438,5,1910
53 EAST 7 STREET,Residential,2438,5,1910
57 EAST 7 STREET,Residential,2438,5,1910
99 2 AVENUE,Residential,2456,5,1910
198 AVENUE A,Residential,2472,5,1910
206 AVENUE A,Residential,2472,5,1910
95 2 AVENUE,Residential,2494,5,1910
62 EAST 7 STREET,Residential,2498,5,1910
52 EAST 7 STREET,Residential,2499,5,1910
27 1 AVENUE,Residential,2500,5,1910
82 EAST 3 STREET,Residential,2512,5,1910
80 EAST 3 STREET,Residential,2514,5,1910
203 AVENUE A,Residential,2575,5,1910
507 EAST 11 STREET,Residential,2581,5,1910
516 EAST 13 STREET,Residential,2581,5,1910
518 EAST 13 STREET,Residential,2581,5,1910
509 EAST 11 STREET,Residential,2581,5,1910
180 2 AVENUE,Residential,2583,5,1910
182 1 AVENUE,Residential,2825,5,1910
95 1 AVENUE,Residential,4850,5,1910
29 1 AVENUE,Residential,5000,5,1910
51 EAST 2 STREET,Residential,5043,5,1910
519 EAST 11 STREET,Residential,5163,5,1910
43 1 AVENUE,Residential,10200,5,1910
219 1 AVENUE,Commercial,1218,6,1910
50 2 AVENUE,Commercial,2000,6,1910
61 4 AVENUE,Commercial,2270,6,1910
329 EAST 13 STREET,Commercial,4646,6,1910
60 EAST 3 STREET,Residential,1282,6,1910
72 EAST 1 STREET,Residential,1664,6,1910
312 EAST 9 STREET,Residential,2196,6,1910
66 EAST 7 STREET,Residential,2201,6,1910
72 EAST 7 STREET,Residential,2271,6,1910
74 EAST 7 STREET,Residential,2271,6,1910
70 EAST 7 STREET,Residential,2271,6,1910
318 EAST 9 STREET,Residential,2348,6,1910
314 EAST 9 STREET,Residential,2348,6,1910
54 EAST 1 STREET,Residential,2357,6,1910
430 EAST 11 STREET,Residential,2369,6,1910
428 EAST 11 STREET,Residential,2369,6,1910
124 EAST 4 STREET,Residential,2404,6,1910
57 EAST 4 STREET,Residential,2404,6,1910
221 EAST 5 STREET,Residential,2425,6,1910
59 EAST 7 STREET,Residential,2438,6,1910
200 AVENUE A,Residential,2472,6,1910
224 EAST 12 STREET,Residential,2485,6,1910
26 EAST 2 STREET,Residential,2836,6,1910
207 EAST 5 STREET,Residential,2910,6,1910
15 ST MARKS PLACE,Residential,2934,6,1910
214 1 AVENUE,Residential,3360,6,1910
76 EAST 7 STREET,Residential,3406,6,1910
80 EAST 7 STREET,Residential,3406,6,1910
324 EAST 9 STREET,Residential,3522,6,1910
119 ST MARKS PLACE,Residential,3522,6,1910
66 EAST 3 STREET,Residential,3794,6,1910
50 EAST 3 STREET,Residential,3806,6,1910
224 EAST 11 STREET,Residential,4085,6,1910
87 2 AVENUE,Residential,4850,6,1910
437 EAST 12 STREET,Residential,5008,6,1910
195 AVENUE A,Residential,5175,6,1910
181 EAST 2 STREET,Residential,5934,6,1910
59 EAST 3 STREET,Residential,6251,6,1910
58 EAST 1 STREET,Residential,4605,7,1910
514 EAST 6 STREET,Residential,4844,7,1910
21 1 AVENUE,Residential,4920,7,1910
400 EAST 14 STREET,Commercial,12821,5,1911
527 EAST 6 STREET,Residential,2272,5,1911
168 EAST 7 STREET,Residential,2533,5,1911
190 EAST 3 STREET,Residential,2542,5,1912
210 1 AVENUE,Residential,2960,6,1912
154 EAST 7 STREET,Residential,2272,5,1913
197 EAST 4 STREET,Residential,2404,5,1913
195 EAST 4 STREET,Residential,2404,5,1913
526 EAST 13 STREET,Residential,2581,1,1914
79 EAST 2 STREET,Residential,3844,5,1914
84 2 AVENUE,Residential,2400,4.5,1915
529 EAST 6 STREET,Residential,2271,5,1915
156 EAST 7 STREET,Residential,6815,5,1915
185 EAST 2 STREET,Residential,2940,6,1915
6 EAST 3 STREET,Residential,15705,7,1915
291 EAST 10 STREET,Residential,9067,7,1917
317 BOWERY,Commercial,3050,6,1918
156 EAST 2 STREET,Residential,3180,6,1919
118 3 AVENUE,Commercial,1297,1,1920
300 EAST 14 STREET,Commercial,1705,1,1920
3 ST MARKS PLACE,Commercial,1761,1,1920
238A EAST 9 STREET,Residential,112,1,1920
85 EAST 2 STREET,Residential,2125,1,1920
79 EAST 4 STREET,Residential,4808,1,1920
107 EAST 7 STREET,Residential,5655,1,1920
323 EAST 6 STREET,Residential,6813,1,1920
79 1 AVENUE,Residential,7200,1,1920
162 EAST 4 STREET,Residential,11941,1,1920
23 2 AVENUE,Commercial,3504,2,1920
32 2 AVENUE,Commercial,5450,2,1920
29 3 AVENUE,Commercial,8775,2,1920
207 1 AVENUE,Residential,1720,2,1920
33 1 AVENUE,Residential,2900,2,1920
545 EAST 11 STREET,Residential,4130,2,1920
212 EAST 6 STREET,Residential,4850,2,1920
10 EAST 2 STREET,Residential,1600,2.5,1920
44 EAST 3 STREET,Commercial,1000,3,1920
125 4 AVENUE,Commercial,1540,3,1920
340 EAST 14 STREET,Commercial,2323,3,1920
120 EAST 13 STREET,Commercial,2500,3,1920
42 2 AVENUE,Commercial,3294,3,1920
178 1 AVENUE,Residential,1670,3,1920
109 EAST 7 STREET,Residential,1912,3,1920
68 EAST 7 STREET,Residential,2271,3,1920
76 2 AVENUE,Residential,2400,3,1920
83 EAST 4 STREET,Residential,2404,3,1920
62 ST MARKS PLACE,Residential,2563,3,1920
163 1 AVENUE,Residential,2692,3,1920
144 2 AVENUE,Residential,3354,3,1920
104 ST MARKS PLACE,Residential,7751,3,1920
38 EAST 7 STREET,Residential,8652,3,1920
59 EAST 2 STREET,Residential,9667,3,1920
119 EAST 11 STREET,Commercial,9000,3.5,1920
319 BOWERY,Commercial,1596,4,1920
225 1 AVENUE,Commercial,1620,4,1920
121 4 AVENUE,Commercial,1912,4,1920
320 EAST 14 STREET,Commercial,2322,4,1920
322 EAST 14 STREET,Commercial,2323,4,1920
220 AVENUE B,Commercial,2541,4,1920
98 3 AVENUE,Commercial,2600,4,1920
414 EAST 14 STREET,Commercial,4225,4,1920
214 AVENUE A,Commercial,4944,4,1920
313 BOWERY,Commercial,8168,4,1920
406 EAST 14 STREET,Commercial,26765,4,1920
116 1 AVENUE,Residential,1155,4,1920
23 AVENUE A,Residential,1230,4,1920
201 1 AVENUE,Residential,1295,4,1920
203 1 AVENUE,Residential,1295,4,1920
205 1 AVENUE,Residential,1295,4,1920
199 1 AVENUE,Residential,1295,4,1920
67 2 AVENUE,Residential,1440,4,1920
13 AVENUE A,Residential,1488,4,1920
140 1 AVENUE,Residential,1520,4,1920
210 AVENUE B,Residential,1750,4,1920
101 EAST 7 STREET,Residential,1966,4,1920
79 AVENUE A,Residential,2030,4,1920
311 EAST 6 STREET,Residential,2044,4,1920
309 EAST 6 STREET,Residential,2044,4,1920
543 EAST 11 STREET,Residential,2065,4,1920
431 EAST 6 STREET,Residential,2271,4,1920
105 2 AVENUE,Residential,2400,4,1920
85 EAST 4 STREET,Residential,2405,4,1920
60 ST MARKS PLACE,Residential,2438,4,1920
50 ST MARKS PLACE,Residential,2438,4,1920
57 ST MARKS PLACE,Residential,2471,4,1920
81 AVENUE A,Residential,2480,4,1920
220 EAST 12 STREET,Residential,2485,4,1920
58 EAST 7 STREET,Residential,2498,4,1920
227 EAST 11 STREET,Residential,2550,4,1920
223 EAST 12 STREET,Residential,2581,4,1920
221 EAST 12 STREET,Residential,2581,4,1920
227 EAST 12 STREET,Residential,2581,4,1920
64 EAST 4 STREET,Residential,2633,4,1920
94 AVENUE A,Residential,2763,4,1920
25 ST MARKS PLACE,Residential,2934,4,1920
93 ST MARKS PLACE,Residential,3103,4,1920
28 ST MARKS PLACE,Residential,3120,4,1920
349 EAST 12 STREET,Residential,3123,4,1920
230 EAST 9 STREET,Residential,3150,4,1920
309 EAST 12 STREET,Residential,4182,4,1920
50 AVENUE A,Residential,4800,4,1920
78 ST MARKS PLACE,Residential,4875,4,1920
182 AVENUE A,Residential,4918,4,1920
421 EAST 6 STREET,Residential,6244,4,1920
66 EAST 4 STREET,Residential,9617,4,1920
150 1 AVENUE,Residential,13840,4,1920
150 EAST 4 STREET,Residential,28865,4,1920
112 EAST 3 STREET,Residential,53562,4,1920
227 1 AVENUE,Commercial,1588,4.5,1920
359 BOWERY,Commercial,2657,4.5,1920
82 2 AVENUE,Residential,2400,4.5,1920
31 EAST 1 STREET,Commercial,2144,5,1920
338 EAST 14 STREET,Commercial,2323,5,1920
7 2 AVENUE,Commercial,2477,5,1920
218 EAST 14 STREET,Commercial,2478,5,1920
220 EAST 14 STREET,Commercial,2478,5,1920
517 EAST 13 STREET,Commercial,2571,5,1920
540 EAST 14 STREET,Commercial,2581,5,1920
536 EAST 14 STREET,Commercial,2581,5,1920
219 2 AVENUE,Commercial,2897,5,1920
103 EAST 10 STREET,Commercial,3027,5,1920
93 3 AVENUE,Commercial,5201,5,1920
99 3 AVENUE,Commercial,5929,5,1920
120 EAST 10 STREET,Residential,980,5,1920
100 1 AVENUE,Residential,1155,5,1920
85 ST MARKS PLACE,Residential,1477,5,1920
175 1 AVENUE,Residential,1483,5,1920
113 1 AVENUE,Residential,1557,5,1920
78 EAST 1 STREET,Residential,1710,5,1920
186 AVENUE A,Residential,1738,5,1920
188 AVENUE A,Residential,1755,5,1920
32 AVENUE B,Residential,1947,5,1920
536 EAST 6 STREET,Residential,1957,5,1920
415 EAST 6 STREET,Residential,1998,5,1920
9 EAST 3 STREET,Residential,2084,5,1920
513 EAST 6 STREET,Residential,2115,5,1920
511 EAST 6 STREET,Residential,2150,5,1920
13 EAST 3 STREET,Residential,2175,5,1920
103 1 AVENUE,Residential,2208,5,1920
503 EAST 6 STREET,Residential,2271,5,1920
525 EAST 6 STREET,Residential,2271,5,1920
507 EAST 6 STREET,Residential,2271,5,1920
112 EAST 7 STREET,Residential,2271,5,1920
519 EAST 6 STREET,Residential,2272,5,1920
531 EAST 6 STREET,Residential,2272,5,1920
14 1 AVENUE,Residential,2275,5,1920
120 EAST 7 STREET,Residential,2293,5,1920
417 EAST 9 STREET,Residential,2306,5,1920
437 EAST 9 STREET,Residential,2306,5,1920
415 EAST 9 STREET,Residential,2306,5,1920
278 EAST 10 STREET,Residential,2306,5,1920
332 EAST 9 STREET,Residential,2348,5,1920
344 EAST 9 STREET,Residential,2348,5,1920
97 EAST 7 STREET,Residential,2356,5,1920
257 EAST 10 STREET,Residential,2369,5,1920
209 EAST 10 STREET,Residential,2369,5,1920
261 EAST 10 STREET,Residential,2369,5,1920
267 EAST 10 STREET,Residential,2369,5,1920
424 EAST 11 STREET,Residential,2370,5,1920
542 EAST 11 STREET,Residential,2370,5,1920
5 ST MARKS PLACE,Residential,2375,5,1920
25 EAST 3 STREET,Residential,2383,5,1920
56 EAST 4 STREET,Residential,2402,5,1920
7 EAST 3 STREET,Residential,2404,5,1920
91 1 AVENUE,Residential,2425,5,1920
87 1 AVENUE,Residential,2425,5,1920
230 EAST 6 STREET,Residential,2425,5,1920
322 EAST 6 STREET,Residential,2425,5,1920
320 EAST 6 STREET,Residential,2425,5,1920
206 EAST 6 STREET,Residential,2425,5,1920
310 EAST 6 STREET,Residential,2425,5,1920
326 EAST 6 STREET,Residential,2425,5,1920
76 AVENUE B,Residential,2426,5,1920
506 EAST 6 STREET,Residential,2426,5,1920
217 EAST 5 STREET,Residential,2426,5,1920
126 1 AVENUE,Residential,2433,5,1920
23 EAST 3 STREET,Residential,2438,5,1920
52 ST MARKS PLACE,Residential,2438,5,1920
51 ST MARKS PLACE,Residential,2442,5,1920
236 EAST 6 STREET,Residential,2449,5,1920
272 EAST 10 STREET,Residential,2490,5,1920
60 EAST 7 STREET,Residential,2498,5,1920
54 EAST 7 STREET,Residential,2498,5,1920
56 EAST 7 STREET,Residential,2498,5,1920
58 EAST 4 STREET,Residential,2500,5,1920
63 EAST 4 STREET,Residential,2500,5,1920
84 EAST 3 STREET,Residential,2510,5,1920
235 EAST 12 STREET,Residential,2530,5,1920
186 EAST 2 STREET,Residential,2544,5,1920
213 EAST 11 STREET,Residential,2550,5,1920
510 EAST 12 STREET,Residential,2581,5,1920
514 EAST 12 STREET,Residential,2581,5,1920
512 EAST 12 STREET,Residential,2581,5,1920
178 2 AVENUE,Residential,2583,5,1920
201 2 AVENUE,Residential,2750,5,1920
324 EAST 6 STREET,Residential,2825,5,1920
203 2 AVENUE,Residential,2879,5,1920
412 EAST 9 STREET,Residential,2891,5,1920
116 2 AVENUE,Residential,3250,5,1920
108 2 AVENUE,Residential,3250,5,1920
17 STUYVESANT STREET,Residential,3320,5,1920
120 2 AVENUE,Residential,3333,5,1920
122 2 AVENUE,Residential,3334,5,1920
101 ST MARKS PLACE,Residential,4125,5,1920
429 EAST 6 STREET,Residential,4163,5,1920
105 EAST 10 STREET,Residential,4492,5,1920
225 EAST 10 STREET,Residential,4738,5,1920
62 EAST 4 STREET,Residential,4808,5,1920
72 ST MARKS PLACE,Residential,5050,5,1920
184 EAST 3 STREET,Residential,5084,5,1920
175 EAST 2 STREET,Residential,5407,5,1920
133 2 AVENUE,Residential,5748,5,1920
166 EAST 2 STREET,Residential,6678,5,1920
140 2 AVENUE,Residential,6709,5,1920
240 EAST HOUSTON STREET,Residential,7714,5,1920
157 EAST 2 STREET,Residential,7788,5,1920
20 AVENUE A,Residential,9135,5,1920
181 2 AVENUE,Residential,12077,5,1920
38 EAST 1 STREET,Residential,19281,5,1920
324 EAST 5 STREET,Residential,23626,5,1920
224 EAST 14 STREET,Commercial,1652,6,1920
212 EAST 14 STREET,Commercial,2478,6,1920
538 EAST 14 STREET,Commercial,2581,6,1920
243 EAST 13 STREET,Commercial,3098,6,1920
235 EAST 13 STREET,Commercial,3098,6,1920
239 EAST 13 STREET,Commercial,3098,6,1920
245 EAST 13 STREET,Commercial,3872,6,1920
231 EAST 13 STREET,Commercial,4130,6,1920
238 EAST 14 STREET,Commercial,4784,6,1920
226 EAST 14 STREET,Commercial,4784,6,1920
230 EAST 14 STREET,Commercial,4784,6,1920
234 EAST 14 STREET,Commercial,4788,6,1920
105 3 AVENUE,Commercial,5700,6,1920
404 EAST 14 STREET,Commercial,5782,6,1920
66 2 AVENUE,Residential,1725,6,1920
125 AVENUE A,Residential,1727,6,1920
158 1 AVENUE,Residential,1917,6,1920
27 EAST 3 STREET,Residential,2000,6,1920
173 AVENUE A,Residential,2225,6,1920
107 AVENUE A,Residential,2267,6,1920
425 EAST 6 STREET,Residential,2270,6,1920
509 EAST 6 STREET,Residential,2272,6,1920
109 ST MARKS PLACE,Residential,2348,6,1920
410 EAST 11 STREET,Residential,2369,6,1920
426 EAST 11 STREET,Residential,2369,6,1920
315 EAST 10 STREET,Residential,2369,6,1920
53 2 AVENUE,Residential,2400,6,1920
77 EAST 4 STREET,Residential,2404,6,1920
21 EAST 3 STREET,Residential,2404,6,1920
515 EAST 5 STREET,Residential,2434,6,1920
75 EAST 4 STREET,Residential,2500,6,1920
67 EAST 4 STREET,Residential,2500,6,1920
73 EAST 4 STREET,Residential,2500,6,1920
69 EAST 4 STREET,Residential,2500,6,1920
65 EAST 4 STREET,Residential,2500,6,1920
71 EAST 4 STREET,Residential,2500,6,1920
413 EAST 12 STREET,Residential,2512,6,1920
540 EAST 6 STREET,Residential,2523,6,1920
70 EAST 3 STREET,Residential,2525,6,1920
49 EAST 1 STREET,Residential,2571,6,1920
533 EAST 11 STREET,Residential,2581,6,1920
25 1 AVENUE,Residential,2600,6,1920
127 2 AVENUE,Residential,2600,6,1920
60 EAST 4 STREET,Residential,2808,6,1920
224 EAST 13 STREET,Residential,2951,6,1920
411 EAST 6 STREET,Residential,2974,6,1920
409 EAST 6 STREET,Residential,2974,6,1920
170 AVENUE A,Residential,3020,6,1920
58 EAST 3 STREET,Residential,3146,6,1920
26 1 AVENUE,Residential,3256,6,1920
128 2 AVENUE,Residential,3334,6,1920
124 2 AVENUE,Residential,3343,6,1920
214 EAST 11 STREET,Residential,3467,6,1920
103 ST MARKS PLACE,Residential,3522,6,1920
110 ST MARKS PLACE,Residential,3720,6,1920
126 ST MARKS PLACE,Residential,3770,6,1920
122 ST MARKS PLACE,Residential,3770,6,1920
534 EAST 11 STREET,Residential,3790,6,1920
114 EAST 1 STREET,Residential,3970,6,1920
54 EAST 3 STREET,Residential,4017,6,1920
6 EAST 1 STREET,Residential,4020,6,1920
256 EAST 10 STREET,Residential,4060,6,1920
218 EAST 11 STREET,Residential,4085,6,1920
117 EAST 7 STREET,Residential,4095,6,1920
302 EAST 5 STREET,Residential,4119,6,1920
188 2 AVENUE,Residential,4133,6,1920
346 EAST 13 STREET,Residential,4336,6,1920
131 AVENUE A,Residential,4427,6,1920
103 AVENUE A,Residential,4533,6,1920
77 2 AVENUE,Residential,4760,6,1920
235 EAST 4 STREET,Residential,4808,6,1920
232 EAST 6 STREET,Residential,4850,6,1920
28 STUYVESANT STREET,Residential,4932,6,1920
345 EAST 12 STREET,Residential,5163,6,1920
321 EAST 12 STREET,Residential,5163,6,1920
152 2 AVENUE,Residential,5521,6,1920
67 EAST 2 STREET,Residential,5887,6,1920
205 EAST 10 STREET,Residential,5899,6,1920
198 2 AVENUE,Residential,6180,6,1920
156 2 AVENUE,Residential,8195,6,1920
107 ST MARKS PLACE,Residential,8904,6,1920
182 EAST 2 STREET,Residential,9248,6,1920
63 2 AVENUE,Residential,11002,6,1920
99 EAST 3 STREET,Residential,16829,6,1920
128 EAST 7 STREET,Residential,2272,7,1920
237 EAST 10 STREET,Residential,2369,7,1920
417 EAST 12 STREET,Residential,2512,7,1920
68 EAST 1 STREET,Residential,3181,7,1920
91 EAST 3 STREET,Residential,3846,7,1920
229 EAST 12 STREET,Residential,4037,7,1920
306 EAST 5 STREET,Residential,4119,7,1920
145 2 AVENUE,Residential,4147,7,1920
59 EAST 4 STREET,Residential,4809,7,1920
111 EAST 7 STREET,Residential,6106,7,1920
210 EAST 5 STREET,Residential,7680,7,1920
19 ST MARKS PLACE,Residential,8801,7,1920
104 2 AVENUE,Residential,4110,8,1920
5 EAST 3 STREET,Residential,2404,9,1920
57 2 AVENUE,Residential,4808,9,1920
111 4 AVENUE,Commercial,17567,13,1921
222 1 AVENUE,Commercial,1683,5,1922
515 EAST 6 STREET,Residential,4502,5,1923
418 EAST 12 STREET,Residential,36137,5,1923
28 2 AVENUE,Commercial,5000,10,1923
71 COOPER SQUARE,Commercial,6216,4,1925
297 EAST 10 STREET,Residential,2539,4,1925
225 EAST 12 STREET,Residential,2581,4,1925
228 EAST 6 STREET,Residential,2425,5,1925
218 EAST 6 STREET,Residential,2426,5,1925
524 EAST 13 STREET,Residential,2581,5,1925
150 EAST 7 STREET,Residential,4544,5,1925
310 EAST 11 STREET,Residential,4579,5,1925
144 EAST 7 STREET,Residential,9405,5,1925
140 EAST 7 STREET,Residential,9488,5,1925
14 AVENUE B,Residential,3574,6,1925
223 2 AVENUE,Commercial,11455,7,1925
26 AVENUE A,Residential,2910,4,1926
220 EAST 9 STREET,Residential,7875,4,1926
235 EAST 11 STREET,Residential,11200,5,1926
331 EAST 12 STREET,Residential,8260,8,1927
544 EAST 11 STREET,Residential,2370,5,1928
135 AVENUE A,Residential,9068,5,1928
226 EAST 12 STREET,Residential,7029,10,1928
170 2 AVENUE,Residential,7616,15,1928
106 EAST 13 STREET,Commercial,3467,2,1929
204 AVENUE B,Residential,1110,4,1929
514 EAST 11 STREET,Residential,1939,4,1929
232 EAST 5 STREET,Residential,2020,4,1929
512 EAST 11 STREET,Residential,1875,5,1929
229 EAST 4 STREET,Residential,1891,5,1929
218 EAST 5 STREET,Residential,2404,5,1929
336 EAST 6 STREET,Residential,2425,5,1929
513 EAST 5 STREET,Residential,2426,5,1929
76 ST MARKS PLACE,Residential,2437,5,1929
424 EAST 9 STREET,Residential,3384,5,1929
107 2 AVENUE,Residential,9008,5,1929
72 2 AVENUE,Residential,2400,6,1929
406 EAST 9 STREET,Residential,3131,6,1929
540 EAST 5 STREET,Residential,3839,6,1929
536 EAST 5 STREET,Residential,3847,6,1929
172 EAST 7 STREET,Residential,5047,6,1929
232 EAST 12 STREET,Residential,8307,10,1929
43 AVENUE A,Residential,12021,12,1929
51 AVENUE A,Residential,12100,12,1929
162 2 AVENUE,Residential,10207,16,1929
436 EAST 13 STREET,Residential,2504,2,1930
442 EAST 13 STREET,Residential,2504,2,1930
126 2 AVENUE,Residential,3334,3,1930
324 EAST 14 STREET,Commercial,2323,4,1930
170 EAST 3 STREET,Residential,7865,4,1930
424 EAST 14 STREET,Commercial,2581,5,1930
426 EAST 14 STREET,Commercial,8647,5,1930
551 EAST 12 STREET,Residential,1100,5,1930
108 AVENUE B,Residential,1806,5,1930
188 AVENUE B,Residential,1810,5,1930
543 EAST 6 STREET,Residential,1820,5,1930
524 EAST 5 STREET,Residential,1979,5,1930
321 EAST 10 STREET,Residential,2126,5,1930
166 1 AVENUE,Residential,2225,5,1930
101 2 AVENUE,Residential,2546,5,1930
99 EAST 7 STREET,Residential,2567,5,1930
186 AVENUE B,Residential,2715,5,1930
182 AVENUE B,Residential,2715,5,1930
118 2 AVENUE,Residential,3334,5,1930
28 AVENUE A,Residential,5280,5,1930
202 EAST 6 STREET,Commercial,3946,6,1930
233 EAST 12 STREET,Residential,2633,6,1930
226 EAST 13 STREET,Residential,2945,6,1930
208 EAST 13 STREET,Residential,3200,6,1930
212 EAST 13 STREET,Residential,3201,6,1930
504 EAST 12 STREET,Residential,3872,6,1930
508 EAST 12 STREET,Residential,3872,6,1930
87 3 AVENUE,Residential,20662,6,1930
100 3 AVENUE,Commercial,2600,7,1930
127 4 AVENUE,Commercial,6720,7,1930
518 EAST 12 STREET,Residential,5163,7,1930
228 EAST 5 STREET,Residential,1908,3,1931
176 EAST 3 STREET,Residential,10513,6,1931
236 EAST 5 STREET,Residential,6059,6,1932
532 EAST 12 STREET,PARK,16004,1,1935
232 EAST 11 STREET,Residential,3001,2,1935
71 2 AVENUE,Residential,1854,6,1935
175 2 AVENUE,Residential,11903,6,1935
93 PARK AVENUE SOUTH,Commercial,15210,3,1936
44 EAST 2 STREET,Residential,10430,5,1936
223 EAST 4 STREET,Residential,2900,6,1937
225 EAST 4 STREET,Residential,2900,6,1937
136 2 AVENUE,Residential,7634,6,1938
548 EAST 13 STREET,Residential,1274,1,1940
338 EAST 9 STREET,Residential,2125,1,1940
100 AVENUE B,Residential,797,2,1940
23 3 AVENUE,Commercial,2200,3.5,1940
38 2 AVENUE,Commercial,3263,4,1940
87 ST MARKS PLACE,Residential,5630,4,1940
506 EAST 5 STREET,Residential,2396,5,1940
508 EAST 5 STREET,Residential,2396,5,1940
520 EAST 5 STREET,Residential,2404,5,1940
216 EAST 6 STREET,Residential,2425,5,1940
226 EAST 6 STREET,Residential,2425,5,1940
46 ST MARKS PLACE,Residential,2438,5,1940
80 2 AVENUE,Residential,2466,5,1940
